" ","  "
"שם לקוח","כתובת"
" "," "
"צביקה וינשטוק","16 יסמין הוד השרון"
" ","  "
"קוד מונה","מספר מונה"
"23/05/2024","10:00",.047
"23/05/2024","10:15",.046
"23/05/2024","10:30",.05
"23/05/2024","10:45",.046
"23/05/2024","11:00",.05
"23/05/2024","11:15",.046
"23/05/2024","11:30",.046
"23/05/2024","11:45",.051
"23/05/2024","12:00",.045
"23/05/2024","12:15",.047
"23/05/2024","12:30",.049
"23/05/2024","12:45",.045
"23/05/2024","13:00",.048
"23/05/2024","13:15",.049
"23/05/2024","13:30",.045
"23/05/2024","13:45",.046
"23/05/2024","14:00",.051
"23/05/2024","14:15",.045
"23/05/2024","14:30",.045
"23/05/2024","14:45",.051
"23/05/2024","15:00",.045
"23/05/2024","15:15",.045
"23/05/2024","15:30",.051
"23/05/2024","15:45",.039
"23/05/2024","16:00",.132
"23/05/2024","16:15",.05
"23/05/2024","16:30",.045
"23/05/2024","16:45",.045
"23/05/2024","17:00",.051
"23/05/2024","17:15",.045
"23/05/2024","17:30",.045
"23/05/2024","17:45",.05
"23/05/2024","18:00",.045
"23/05/2024","18:15",.045
"23/05/2024","18:30",.051
"23/05/2024","18:45",.045
"23/05/2024","19:00",.044
"23/05/2024","19:15",.051
"23/05/2024","19:30",.071
"23/05/2024","19:45",.138
"23/05/2024","20:00",.133
"23/05/2024","20:15",.132
"23/05/2024","20:30",.127
"23/05/2024","20:45",.776
"23/05/2024","21:00",.494
"23/05/2024","21:15",.092
"23/05/2024","21:30",.093
"23/05/2024","21:45",.096
"23/05/2024","22:00",.091
"23/05/2024","22:15",.097
"23/05/2024","22:30",.092
"23/05/2024","22:45",.091
"23/05/2024","23:00",.113
"23/05/2024","23:15",.294
"23/05/2024","23:30",.308
"23/05/2024","23:45",.304
"24/05/2024","00:00",.29
"24/05/2024","00:15",.286
"24/05/2024","00:30",.275
"24/05/2024","00:45",.261
"24/05/2024","01:00",.261
"24/05/2024","01:15",.259
"24/05/2024","01:30",.318
"24/05/2024","01:45",.286
"24/05/2024","02:00",.224
"24/05/2024","02:15",.223
"24/05/2024","02:30",.226
"24/05/2024","02:45",.22
"24/05/2024","03:00",.226
"24/05/2024","03:15",.25
"24/05/2024","03:30",.243
"24/05/2024","03:45",.227
"24/05/2024","04:00",.224
"24/05/2024","04:15",.22
"24/05/2024","04:30",.22
"24/05/2024","04:45",.224
"24/05/2024","05:00",.219
"24/05/2024","05:15",.221
"24/05/2024","05:30",.217
"24/05/2024","05:45",.206
"24/05/2024","06:00",.206
"24/05/2024","06:15",.213
"24/05/2024","06:30",.209
"24/05/2024","06:45",.211
"24/05/2024","07:00",.236
"24/05/2024","07:15",.275
"24/05/2024","07:30",.221
"24/05/2024","07:45",.229
"24/05/2024","08:00",.223
"24/05/2024","08:15",.222
"24/05/2024","08:30",.226
"24/05/2024","08:45",.439
"24/05/2024","09:00",.757
"24/05/2024","09:15",.245
"24/05/2024","09:30",.238
"24/05/2024","09:45",.095
"24/05/2024","10:00",.062
"24/05/2024","10:15",.064
"24/05/2024","10:30",.063
"24/05/2024","10:45",.06
"24/05/2024","11:00",.057
"24/05/2024","11:15",.061
"24/05/2024","11:30",.056
"24/05/2024","11:45",.056
"24/05/2024","12:00",.064
"24/05/2024","12:15",.057
"24/05/2024","12:30",.059
"24/05/2024","12:45",.058
"24/05/2024","13:00",.095
"24/05/2024","13:15",.106
"24/05/2024","13:30",.154
"24/05/2024","13:45",.076
"24/05/2024","14:00",.069
"24/05/2024","14:15",.061
"24/05/2024","14:30",.064
"24/05/2024","14:45",.075
"24/05/2024","15:00",.098
"24/05/2024","15:15",.093
"24/05/2024","15:30",.088
"24/05/2024","15:45",.094
"24/05/2024","16:00",.1
"24/05/2024","16:15",.072
"24/05/2024","16:30",.157
"24/05/2024","16:45",.563
"24/05/2024","17:00",.886
"24/05/2024","17:15",.988
"24/05/2024","17:30",.827
"24/05/2024","17:45",1.056
"24/05/2024","18:00",1.01
"24/05/2024","18:15",.154
"24/05/2024","18:30",.137
"24/05/2024","18:45",.125
"24/05/2024","19:00",.127
"24/05/2024","19:15",.141
"24/05/2024","19:30",.139
"24/05/2024","19:45",.152
"24/05/2024","20:00",.185
"24/05/2024","20:15",.358
"24/05/2024","20:30",.573
"24/05/2024","20:45",.391
"24/05/2024","21:00",.562
"24/05/2024","21:15",.196
"24/05/2024","21:30",.176
"24/05/2024","21:45",.203
"24/05/2024","22:00",.202
"24/05/2024","22:15",.204
"24/05/2024","22:30",.176
"24/05/2024","22:45",.178
"24/05/2024","23:00",.169
"24/05/2024","23:15",.182
"24/05/2024","23:30",.178
"24/05/2024","23:45",.366
"25/05/2024","00:00",.193
"25/05/2024","00:15",.138
"25/05/2024","00:30",.139
"25/05/2024","00:45",.196
"25/05/2024","01:00",.173
"25/05/2024","01:15",.169
"25/05/2024","01:30",.156
"25/05/2024","01:45",.272
"25/05/2024","02:00",.235
"25/05/2024","02:15",.238
"25/05/2024","02:30",.233
"25/05/2024","02:45",.229
"25/05/2024","03:00",.22
"25/05/2024","03:15",.222
"25/05/2024","03:30",.227
"25/05/2024","03:45",.221
"25/05/2024","04:00",.224
"25/05/2024","04:15",.224
"25/05/2024","04:30",.22
"25/05/2024","04:45",.22
"25/05/2024","05:00",.225
"25/05/2024","05:15",.188
"25/05/2024","05:30",.157
"25/05/2024","05:45",.154
"25/05/2024","06:00",.15
"25/05/2024","06:15",.149
"25/05/2024","06:30",.152
"25/05/2024","06:45",.154
"25/05/2024","07:00",.169
"25/05/2024","07:15",.222
"25/05/2024","07:30",.159
"25/05/2024","07:45",.157
"25/05/2024","08:00",.159
"25/05/2024","08:15",.166
"25/05/2024","08:30",.16
"25/05/2024","08:45",.173
"25/05/2024","09:00",.204
"25/05/2024","09:15",.241
"25/05/2024","09:30",.369
"25/05/2024","09:45",.339
"25/05/2024","10:00",.299
"25/05/2024","10:15",.289
"25/05/2024","10:30",.233
"25/05/2024","10:45",.223
"25/05/2024","11:00",.214
"25/05/2024","11:15",.424
"25/05/2024","11:30",1.211
"25/05/2024","11:45",1.071
"25/05/2024","12:00",.976
"25/05/2024","12:15",.233
"25/05/2024","12:30",.087
"25/05/2024","12:45",.388
"25/05/2024","13:00",.755
"25/05/2024","13:15",.49
"25/05/2024","13:30",.088
"25/05/2024","13:45",.074
"25/05/2024","14:00",.076
"25/05/2024","14:15",.097
"25/05/2024","14:30",.154
"25/05/2024","14:45",.363
"25/05/2024","15:00",.691
"25/05/2024","15:15",.709
"25/05/2024","15:30",.697
"25/05/2024","15:45",.689
"25/05/2024","16:00",.692
"25/05/2024","16:15",.69
"25/05/2024","16:30",.696
"25/05/2024","16:45",.688
"25/05/2024","17:00",.891
"25/05/2024","17:15",1.015
"25/05/2024","17:30",.973
"25/05/2024","17:45",.391
"25/05/2024","18:00",.09
"25/05/2024","18:15",.081
"25/05/2024","18:30",.084
"25/05/2024","18:45",.085
"25/05/2024","19:00",.086
"25/05/2024","19:15",.09
"25/05/2024","19:30",.126
"25/05/2024","19:45",.145
"25/05/2024","20:00",.148
"25/05/2024","20:15",.178
"25/05/2024","20:30",.217
"25/05/2024","20:45",.707
"25/05/2024","21:00",.599
"25/05/2024","21:15",.177
"25/05/2024","21:30",.189
"25/05/2024","21:45",.174
"25/05/2024","22:00",.177
"25/05/2024","22:15",.174
"25/05/2024","22:30",.177
"25/05/2024","22:45",.187
"25/05/2024","23:00",.19
"25/05/2024","23:15",.198
"25/05/2024","23:30",.269
"25/05/2024","23:45",.267
"26/05/2024","00:00",.357
"26/05/2024","00:15",.268
"26/05/2024","00:30",.26
"26/05/2024","00:45",.259
"26/05/2024","01:00",.211
"26/05/2024","01:15",.193
"26/05/2024","01:30",.199
"26/05/2024","01:45",.192
"26/05/2024","02:00",.154
"26/05/2024","02:15",.162
"26/05/2024","02:30",.158
"26/05/2024","02:45",.163
"26/05/2024","03:00",.158
"26/05/2024","03:15",.158
"26/05/2024","03:30",.163
"26/05/2024","03:45",.158
"26/05/2024","04:00",.157
"26/05/2024","04:15",.182
"26/05/2024","04:30",.214
"26/05/2024","04:45",.214
"26/05/2024","05:00",.219
"26/05/2024","05:15",.214
"26/05/2024","05:30",.208
"26/05/2024","05:45",.202
"26/05/2024","06:00",.191
"26/05/2024","06:15",.161
"26/05/2024","06:30",.151
"26/05/2024","06:45",.057
"26/05/2024","07:00",.069
"26/05/2024","07:15",.052
"26/05/2024","07:30",.065
"26/05/2024","07:45",.053
"26/05/2024","08:00",.059
"26/05/2024","08:15",.064
"26/05/2024","08:30",.06
"26/05/2024","08:45",.064
"26/05/2024","09:00",.06
"26/05/2024","09:15",.059
"26/05/2024","09:30",.06
"26/05/2024","09:45",.058
"26/05/2024","10:00",.059
"26/05/2024","10:15",.065
"26/05/2024","10:30",.061
"26/05/2024","10:45",.056
"26/05/2024","11:00",.059
"26/05/2024","11:15",.053
"26/05/2024","11:30",.126
"26/05/2024","11:45",.306
"26/05/2024","12:00",.265
"26/05/2024","12:15",.257
"26/05/2024","12:30",.263
"26/05/2024","12:45",.257
"26/05/2024","13:00",.258
"26/05/2024","13:15",.258
"26/05/2024","13:30",.261
"26/05/2024","13:45",.266
"26/05/2024","14:00",.308
"26/05/2024","14:15",.272
"26/05/2024","14:30",.128
"26/05/2024","14:45",.115
"26/05/2024","15:00",.111
"26/05/2024","15:15",.118
"26/05/2024","15:30",.165
"26/05/2024","15:45",.1
"26/05/2024","16:00",.089
"26/05/2024","16:15",.083
"26/05/2024","16:30",.105
"26/05/2024","16:45",.188
"26/05/2024","17:00",.104
"26/05/2024","17:15",.061
"26/05/2024","17:30",.085
"26/05/2024","17:45",.086
"26/05/2024","18:00",.064
"26/05/2024","18:15",.059
"26/05/2024","18:30",.056
"26/05/2024","18:45",.056
"26/05/2024","19:00",.06
"26/05/2024","19:15",.065
"26/05/2024","19:30",.125
"26/05/2024","19:45",.196
"26/05/2024","20:00",.197
"26/05/2024","20:15",.193
"26/05/2024","20:30",.196
"26/05/2024","20:45",.184
"26/05/2024","21:00",.195
"26/05/2024","21:15",.147
"26/05/2024","21:30",.138
"26/05/2024","21:45",.141
"26/05/2024","22:00",.161
"26/05/2024","22:15",.301
"26/05/2024","22:30",.272
"26/05/2024","22:45",.256
"26/05/2024","23:00",.248
"26/05/2024","23:15",.299
"26/05/2024","23:30",.233
"26/05/2024","23:45",.222
"27/05/2024","00:00",.211
"27/05/2024","00:15",.199
"27/05/2024","00:30",.212
"27/05/2024","00:45",.195
"27/05/2024","01:00",.19
"27/05/2024","01:15",.189
"27/05/2024","01:30",.194
"27/05/2024","01:45",.189
"27/05/2024","02:00",.16
"27/05/2024","02:15",.252
"27/05/2024","02:30",.163
"27/05/2024","02:45",.16
"27/05/2024","03:00",.16
"27/05/2024","03:15",.164
"27/05/2024","03:30",.155
"27/05/2024","03:45",.163
"27/05/2024","04:00",.17
"27/05/2024","04:15",.166
"27/05/2024","04:30",.166
"27/05/2024","04:45",.162
"27/05/2024","05:00",.169
"27/05/2024","05:15",.166
"27/05/2024","05:30",.162
"27/05/2024","05:45",.157
"27/05/2024","06:00",.149
"27/05/2024","06:15",.146
"27/05/2024","06:30",.16
"27/05/2024","06:45",.158
"27/05/2024","07:00",.202
"27/05/2024","07:15",.219
"27/05/2024","07:30",.219
"27/05/2024","07:45",.253
"27/05/2024","08:00",.135
"27/05/2024","08:15",.119
"27/05/2024","08:30",.06
"27/05/2024","08:45",.109
"27/05/2024","09:00",.092
"27/05/2024","09:15",.401
"27/05/2024","09:30",.252
"27/05/2024","09:45",.427
"27/05/2024","10:00",.565
"27/05/2024","10:15",.577
"27/05/2024","10:30",.579
"27/05/2024","10:45",.428
"27/05/2024","11:00",.336
"27/05/2024","11:15",.306
"27/05/2024","11:30",.275
"27/05/2024","11:45",.089
"27/05/2024","12:00",.261
"27/05/2024","12:15",.301
"27/05/2024","12:30",.299
"27/05/2024","12:45",.294
"27/05/2024","13:00",.293
"27/05/2024","13:15",.157
"27/05/2024","13:30",.123
"27/05/2024","13:45",.121
"27/05/2024","14:00",.289
"27/05/2024","14:15",.286
"27/05/2024","14:30",.282
"27/05/2024","14:45",.277
"27/05/2024","15:00",.279
"27/05/2024","15:15",.282
"27/05/2024","15:30",.272
"27/05/2024","15:45",.263
"27/05/2024","16:00",.35
"27/05/2024","16:15",.368
"27/05/2024","16:30",.353
"27/05/2024","16:45",.267
"27/05/2024","17:00",.118
"27/05/2024","17:15",.114
"27/05/2024","17:30",.08
"27/05/2024","17:45",.071
"27/05/2024","18:00",.052
"27/05/2024","18:15",.117
"27/05/2024","18:30",.081
"27/05/2024","18:45",.051
"27/05/2024","19:00",.046
"27/05/2024","19:15",.053
"27/05/2024","19:30",.112
"27/05/2024","19:45",.139
"27/05/2024","20:00",.102
"27/05/2024","20:15",.145
"27/05/2024","20:30",.802
"27/05/2024","20:45",.745
"27/05/2024","21:00",.751
"27/05/2024","21:15",.724
"27/05/2024","21:30",.705
"27/05/2024","21:45",.705
"27/05/2024","22:00",.819
"27/05/2024","22:15",.816
"27/05/2024","22:30",.602
"27/05/2024","22:45",.563
"27/05/2024","23:00",.311
"27/05/2024","23:15",.308
"27/05/2024","23:30",.281
"27/05/2024","23:45",.281
"28/05/2024","00:00",.271
"28/05/2024","00:15",.269
"28/05/2024","00:30",.276
"28/05/2024","00:45",.249
"28/05/2024","01:00",.202
"28/05/2024","01:15",.203
"28/05/2024","01:30",.198
"28/05/2024","01:45",.194
"28/05/2024","02:00",.166
"28/05/2024","02:15",.156
"28/05/2024","02:30",.155
"28/05/2024","02:45",.159
"28/05/2024","03:00",.155
"28/05/2024","03:15",.154
"28/05/2024","03:30",.156
"28/05/2024","03:45",.252
"28/05/2024","04:00",.153
"28/05/2024","04:15",.152
"28/05/2024","04:30",.159
"28/05/2024","04:45",.152
"28/05/2024","05:00",.151
"28/05/2024","05:15",.157
"28/05/2024","05:30",.137
"28/05/2024","05:45",.137
"28/05/2024","06:00",.142
"28/05/2024","06:15",.141
"28/05/2024","06:30",.142
"28/05/2024","06:45",.145
"28/05/2024","07:00",.182
"28/05/2024","07:15",.174
"28/05/2024","07:30",.176
"28/05/2024","07:45",.158
"28/05/2024","08:00",.156
"28/05/2024","08:15",.457
"28/05/2024","08:30",.539
"28/05/2024","08:45",.28
"28/05/2024","09:00",.134
"28/05/2024","09:15",.138
"28/05/2024","09:30",.087
"28/05/2024","09:45",.086
"28/05/2024","10:00",.061
"28/05/2024","10:15",.054
"28/05/2024","10:30",.062
"28/05/2024","10:45",.059
"28/05/2024","11:00",.061
"28/05/2024","11:15",.066
"28/05/2024","11:30",.06
"28/05/2024","11:45",.065
"28/05/2024","12:00",.061
"28/05/2024","12:15",.059
"28/05/2024","12:30",.065
"28/05/2024","12:45",.056
"28/05/2024","13:00",.054
"28/05/2024","13:15",.059
"28/05/2024","13:30",.058
"28/05/2024","13:45",.059
"28/05/2024","14:00",.064
"28/05/2024","14:15",.059
"28/05/2024","14:30",.059
"28/05/2024","14:45",.059
"28/05/2024","15:00",.063
"28/05/2024","15:15",.053
"28/05/2024","15:30",.055
"28/05/2024","15:45",.152
"28/05/2024","16:00",.054
"28/05/2024","16:15",.05
"28/05/2024","16:30",.061
"28/05/2024","16:45",.06
"28/05/2024","17:00",.059
"28/05/2024","17:15",.064
"28/05/2024","17:30",.053
"28/05/2024","17:45",.056
"28/05/2024","18:00",.062
"28/05/2024","18:15",.056
"28/05/2024","18:30",.067
"28/05/2024","18:45",.061
"28/05/2024","19:00",.07
"28/05/2024","19:15",.065
"28/05/2024","19:30",.089
"28/05/2024","19:45",.173
"28/05/2024","20:00",.206
"28/05/2024","20:15",.212
"28/05/2024","20:30",.207
"28/05/2024","20:45",.168
"28/05/2024","21:00",.254
"28/05/2024","21:15",.365
"28/05/2024","21:30",.362
"28/05/2024","21:45",.221
"28/05/2024","22:00",.162
"28/05/2024","22:15",.154
"28/05/2024","22:30",.147
"28/05/2024","22:45",.158
"28/05/2024","23:00",.267
"28/05/2024","23:15",.313
"28/05/2024","23:30",.275
"28/05/2024","23:45",.248
"29/05/2024","00:00",.232
"29/05/2024","00:15",.227
"29/05/2024","00:30",.191
"29/05/2024","00:45",.238
"29/05/2024","01:00",.333
"29/05/2024","01:15",.231
"29/05/2024","01:30",.231
"29/05/2024","01:45",.231
"29/05/2024","02:00",.195
"29/05/2024","02:15",.199
"29/05/2024","02:30",.201
"29/05/2024","02:45",.163
"29/05/2024","03:00",.173
"29/05/2024","03:15",.167
"29/05/2024","03:30",.172
"29/05/2024","03:45",.183
"29/05/2024","04:00",.189
"29/05/2024","04:15",.169
"29/05/2024","04:30",.161
"29/05/2024","04:45",.161
"29/05/2024","05:00",.166
"29/05/2024","05:15",.15
"29/05/2024","05:30",.143
"29/05/2024","05:45",.143
"29/05/2024","06:00",.135
"29/05/2024","06:15",.134
"29/05/2024","06:30",.141
"29/05/2024","06:45",.217
"29/05/2024","07:00",.188
"29/05/2024","07:15",.19
"29/05/2024","07:30",.212
"29/05/2024","07:45",.188
"29/05/2024","08:00",.182
"29/05/2024","08:15",.26
"29/05/2024","08:30",.234
"29/05/2024","08:45",.114
"29/05/2024","09:00",.12
"29/05/2024","09:15",.118
"29/05/2024","09:30",.126
"29/05/2024","09:45",.126
"29/05/2024","10:00",.177
"29/05/2024","10:15",.128
"29/05/2024","10:30",.16
"29/05/2024","10:45",.091
"29/05/2024","11:00",.082
"29/05/2024","11:15",.086
"29/05/2024","11:30",.081
"29/05/2024","11:45",.087
"29/05/2024","12:00",.08
"29/05/2024","12:15",.086
"29/05/2024","12:30",.081
"29/05/2024","12:45",.085
"29/05/2024","13:00",.079
"29/05/2024","13:15",.079
"29/05/2024","13:30",.085
"29/05/2024","13:45",.078
"29/05/2024","14:00",.081
"29/05/2024","14:15",.082
"29/05/2024","14:30",.078
"29/05/2024","14:45",.082
"29/05/2024","15:00",.078
"29/05/2024","15:15",.076
"29/05/2024","15:30",.073
"29/05/2024","15:45",.078
"29/05/2024","16:00",.075
"29/05/2024","16:15",.078
"29/05/2024","16:30",.078
"29/05/2024","16:45",.075
"29/05/2024","17:00",.079
"29/05/2024","17:15",.082
"29/05/2024","17:30",.074
"29/05/2024","17:45",.075
"29/05/2024","18:00",.077
"29/05/2024","18:15",.165
"29/05/2024","18:30",.072
"29/05/2024","18:45",.078
"29/05/2024","19:00",.072
"29/05/2024","19:15",.073
"29/05/2024","19:30",.027
"29/05/2024","19:45",.087
"29/05/2024","20:00",.111
"29/05/2024","20:15",.078
"29/05/2024","20:30",.086
"29/05/2024","20:45",.181
"29/05/2024","21:00",.166
"29/05/2024","21:15",.183
"29/05/2024","21:30",.197
"29/05/2024","21:45",.208
"29/05/2024","22:00",.197
"29/05/2024","22:15",.198
"29/05/2024","22:30",.157
"29/05/2024","22:45",.161
"29/05/2024","23:00",.146
"29/05/2024","23:15",.318
"29/05/2024","23:30",.613
"29/05/2024","23:45",.61
"30/05/2024","00:00",.425
"30/05/2024","00:15",.213
"30/05/2024","00:30",.216
"30/05/2024","00:45",.207
"30/05/2024","01:00",.211
"30/05/2024","01:15",.202
"30/05/2024","01:30",.203
"30/05/2024","01:45",.204
"30/05/2024","02:00",.173
"30/05/2024","02:15",.174
"30/05/2024","02:30",.175
"30/05/2024","02:45",.175
"30/05/2024","03:00",.163
"30/05/2024","03:15",.159
"30/05/2024","03:30",.171
"30/05/2024","03:45",.165
"30/05/2024","04:00",.164
"30/05/2024","04:15",.157
"30/05/2024","04:30",.169
"30/05/2024","04:45",.164
"30/05/2024","05:00",.257
"30/05/2024","05:15",.159
"30/05/2024","05:30",.159
"30/05/2024","05:45",.145
"30/05/2024","06:00",.152
"30/05/2024","06:15",.19
"30/05/2024","06:30",.221
"30/05/2024","06:45",.177
"30/05/2024","07:00",.22
"30/05/2024","07:15",.175
"30/05/2024","07:30",.176
"30/05/2024","07:45",.186
"30/05/2024","08:00",.174
"30/05/2024","08:15",.161
"30/05/2024","08:30",.165
"30/05/2024","08:45",.16
"30/05/2024","09:00",.159
"30/05/2024","09:15",.169
"30/05/2024","09:30",.585
"30/05/2024","09:45",.613
"30/05/2024","10:00",.641
"30/05/2024","10:15",.402
"30/05/2024","10:30",.067
"30/05/2024","10:45",.064
"30/05/2024","11:00",.067
"30/05/2024","11:15",.057
"30/05/2024","11:30",.065
"30/05/2024","11:45",.063
"30/05/2024","12:00",.069
"30/05/2024","12:15",.076
"30/05/2024","12:30",.186
"30/05/2024","12:45",.068
"30/05/2024","13:00",.073
"30/05/2024","13:15",.064
"30/05/2024","13:30",.067
"30/05/2024","13:45",.067
"30/05/2024","14:00",.26
"30/05/2024","14:15",.258
"30/05/2024","14:30",.265
"30/05/2024","14:45",.259
"30/05/2024","15:00",.26
"30/05/2024","15:15",.264
"30/05/2024","15:30",.256
"30/05/2024","15:45",.259
"30/05/2024","16:00",.193
"30/05/2024","16:15",.099
"30/05/2024","16:30",.087
"30/05/2024","16:45",.088
"30/05/2024","17:00",.082
"30/05/2024","17:15",.079
"30/05/2024","17:30",.086
"30/05/2024","17:45",.082
"30/05/2024","18:00",.048
"30/05/2024","18:15",.054
"30/05/2024","18:30",.103
"30/05/2024","18:45",.049
"30/05/2024","19:00",.055
"30/05/2024","19:15",.049
"30/05/2024","19:30",.06
"30/05/2024","19:45",.099
"30/05/2024","20:00",.097
"30/05/2024","20:15",.125
"30/05/2024","20:30",.207
"30/05/2024","20:45",.188
"30/05/2024","21:00",.178
"30/05/2024","21:15",.15
"30/05/2024","21:30",.162
"30/05/2024","21:45",.251
"30/05/2024","22:00",.163
"30/05/2024","22:15",.183
"30/05/2024","22:30",.182
"30/05/2024","22:45",.179
"30/05/2024","23:00",.183
"30/05/2024","23:15",.301
"30/05/2024","23:30",.276
"30/05/2024","23:45",.241
"31/05/2024","00:00",.238
"31/05/2024","00:15",.25
"31/05/2024","00:30",.247
"31/05/2024","00:45",.234
"31/05/2024","01:00",.221
"31/05/2024","01:15",.213
"31/05/2024","01:30",.192
"31/05/2024","01:45",.217
"31/05/2024","02:00",.178
"31/05/2024","02:15",.162
"31/05/2024","02:30",.158
"31/05/2024","02:45",.229
"31/05/2024","03:00",.201
"31/05/2024","03:15",.208
"31/05/2024","03:30",.204
"31/05/2024","03:45",.208
"31/05/2024","04:00",.185
"31/05/2024","04:15",.193
"31/05/2024","04:30",.183
"31/05/2024","04:45",.208
"31/05/2024","05:00",.193
"31/05/2024","05:15",.196
"31/05/2024","05:30",.19
"31/05/2024","05:45",.186
"31/05/2024","06:00",.173
"31/05/2024","06:15",.183
"31/05/2024","06:30",.19
"31/05/2024","06:45",.191
"31/05/2024","07:00",.292
"31/05/2024","07:15",.227
"31/05/2024","07:30",.206
"31/05/2024","07:45",.191
"31/05/2024","08:00",.195
"31/05/2024","08:15",.201
"31/05/2024","08:30",.23
"31/05/2024","08:45",.206
"31/05/2024","09:00",.21
"31/05/2024","09:15",.203
"31/05/2024","09:30",.254
"31/05/2024","09:45",.268
"31/05/2024","10:00",.198
"31/05/2024","10:15",.085
"31/05/2024","10:30",.068
"31/05/2024","10:45",.061
"31/05/2024","11:00",.065
"31/05/2024","11:15",.06
"31/05/2024","11:30",.065
"31/05/2024","11:45",.058
"31/05/2024","12:00",.059
"31/05/2024","12:15",.054
"31/05/2024","12:30",.058
"31/05/2024","12:45",.054
"31/05/2024","13:00",.076
"31/05/2024","13:15",.109
"31/05/2024","13:30",.089
"31/05/2024","13:45",.091
"31/05/2024","14:00",.092
"31/05/2024","14:15",.094
"31/05/2024","14:30",.095
"31/05/2024","14:45",.089
"31/05/2024","15:00",.09
"31/05/2024","15:15",.1
"31/05/2024","15:30",.075
"31/05/2024","15:45",.121
"31/05/2024","16:00",.267
"31/05/2024","16:15",.36
"31/05/2024","16:30",.257
"31/05/2024","16:45",.271
"31/05/2024","17:00",.255
"31/05/2024","17:15",.254
"31/05/2024","17:30",.255
"31/05/2024","17:45",.25
"31/05/2024","18:00",.256
"31/05/2024","18:15",.248
"31/05/2024","18:30",.249
"31/05/2024","18:45",.258
"31/05/2024","19:00",.115
"31/05/2024","19:15",.147
"31/05/2024","19:30",.162
"31/05/2024","19:45",.182
"31/05/2024","20:00",.172
"31/05/2024","20:15",.37
"31/05/2024","20:30",.368
"31/05/2024","20:45",.374
"31/05/2024","21:00",.363
"31/05/2024","21:15",.164
"31/05/2024","21:30",.2
"31/05/2024","21:45",.233
"31/05/2024","22:00",.167
"31/05/2024","22:15",.163
"31/05/2024","22:30",.189
"31/05/2024","22:45",.243
"31/05/2024","23:00",.308
"31/05/2024","23:15",.267
"31/05/2024","23:30",.228
"31/05/2024","23:45",.232
"01/06/2024","00:00",.228
